# TOP GC-Fahrer

Ayuso, Juan (Lidl-Trek)
Del Toro, Isaac (UAE Team Emirates-XRG)
Gall, Felix (Decathlon AG2R La Mondiale)
Healy, Ben (EF Education-EasyPost)
Johannessen, Tobias Halland (Uno-X Mobility)
Jorgenson, Matteo (Visma | Lease a Bike)
Lipowitz, Florian (Red Bull - BORA - hansgrohe)
Pidcock, Tom (Pinarello Q36.5 Pro Cycling Team)
Pogačar, Tadej (UAE Team Emirates-XRG)
Roglič, Primož (Red Bull - BORA - hansgrohe)
Seixas, Paul (Decathlon CMA CGM Team)
van der Poel, Mathieu (Alpecin-Premier Tech)
Vauquelin, Kévin (Arkéa-B&B Hotels)
Vingegaard, Jonas (Visma | Lease a Bike)

# TOP SPRINTER

Girmay, Biniam (Intermarché-Wanty)
Merlier, Tim (Soudal Quick-Step)
Pedersen, Mads (Lidl-Trek)
Philipsen, Jasper (Alpecin-Deceuninck)

# ALLE FAHRER

Bauhaus, Phil (Bahrain Victorious)
Caruso, Damiano (Bahrain Victorious)
Debruyne, Ramses (Alpecin-Premier Tech)
Dillier, Silvan (Alpecin-Premier Tech)
Gradek, Kamil (Bahrain Victorious)
Marsman, Tim (Alpecin-Premier Tech)
Martinez, Lenny (Bahrain Victorious)
Mohorič, Matej (Bahrain Victorious)
Philipsen, Jasper (Alpecin-Premier Tech)
Planckaert, Edward (Alpecin-Premier Tech)
Rickaert, Jonas (Alpecin-Premier Tech)
Stannard, Robert (Bahrain Victorious)
Tiberi, Antonio (Bahrain Victorious)
van der Poel, Mathieu (Alpecin-Premier Tech)
Van Mechelen, Vlad (Bahrain Victorious)
Verstrynge, Emiel (Alpecin-Premier Tech)
